TIME_LIMIT 90.0
PROMPT Fuse classic hues with a twist—build dual brilliance!
NODE SOURCE RED     150 100 PRODUCES=RED
NODE SOURCE WHITE   150 300 PRODUCES=WHITE
NODE SOURCE BLUE    150 500 PRODUCES=BLUE
NODE PROCESSOR PINK    300 200 RECIPE=RED:1,WHITE:1->PINK:1 DELAY=3
NODE PROCESSOR PURPLE  300 400 RECIPE=RED:1,BLUE:1->PURPLE:1 DELAY=3
NODE SOURCE YELLOW  400 100 PRODUCES=YELLOW
NODE SOURCE BLACK   400 300 PRODUCES=BLACK
NODE SOURCE GREEN   400 500 PRODUCES=GREEN
NODE PROCESSOR ORANGE   600 400 RECIPE=PINK:1,YELLOW:1,BLACK:1->ORANGE:1 DELAY=3
NODE PROCESSOR TURQUOISE 600 200 RECIPE=PURPLE:1,GREEN:1->TURQUOISE:1 DELAY=3
NODE SINK SINK   850 300 DEMAND=ORANGE:1,TURQUOISE:1
